iter	MultiRMSE
0	14.60406256
1	13.33669565
2	12.19685108
3	11.1066627
4	10.17658175
5	9.281023609
6	8.480781435
7	7.761207117
8	7.087252132
9	6.530482815
10	6.039353549
11	5.570092438
12	5.11229127
13	4.725043592
14	4.370694631
15	4.039404982
16	3.721559648
17	3.421180758
18	3.172605634
19	2.942753106
20	2.739623064
21	2.539785124
22	2.370907615
23	2.205497222
24	2.068185031
25	1.931050933
26	1.806116185
27	1.698953674
28	1.592601751
29	1.497913352
30	1.407511643
31	1.331965043
32	1.262134434
33	1.196832155
34	1.139550753
35	1.086511507
36	1.035957777
37	0.9921850822
38	0.9521103056
39	0.9156325038
40	0.8769478405
41	0.8454691864
42	0.8157817289
43	0.7880877029
44	0.7613944577
45	0.7396895616
46	0.7206567881
47	0.7005925324
48	0.6883186052
49	0.6728406368
50	0.6576658984
51	0.6465844545
52	0.6358857853
53	0.6271719887
54	0.6170922352
55	0.608063114
56	0.5974745806
57	0.5891733713
58	0.582448689
59	0.5797177503
60	0.5737790064
61	0.5675330009
62	0.5618715235
63	0.5569327522
64	0.5503168486
65	0.5465634783
66	0.5438258227
67	0.5407052721
68	0.5352301523
69	0.5325071591
70	0.5259477912
71	0.5173229828
72	0.5144832863
73	0.5125668969
74	0.509763235
75	0.5062655514
76	0.5060671329
77	0.5044919126
78	0.4993927246
79	0.497851321
80	0.4934760006
81	0.492424815
82	0.4912738005
83	0.4885918062
84	0.4847603896
85	0.4831738041
86	0.4815072812
87	0.481371617
88	0.4804776329
89	0.4741909736
90	0.4713068853
91	0.4706663379
92	0.4694862344
93	0.4601026894
94	0.4576322529
95	0.4518301803
96	0.4478982762
97	0.4410240304
98	0.4344231079
99	0.4292664653
100	0.4272146726
101	0.4225295931
102	0.4210807536
103	0.4147408978
104	0.4140151688
105	0.4111279134
106	0.408640275
107	0.401870438
108	0.3976471201
109	0.394506791
110	0.3941619201
111	0.3922259498
112	0.3866138951
113	0.3852377714
114	0.3845449218
115	0.3819082514
116	0.3812900389
117	0.3796427657
118	0.3781086964
119	0.3761015749
120	0.3710907149
121	0.3707186046
122	0.3705659886
123	0.3681093056
124	0.3646740301
125	0.3616093796
126	0.3608646886
127	0.3604462092
128	0.3584621642
129	0.356043715
130	0.3525356759
131	0.3505770929
132	0.3459852666
133	0.344694605
134	0.343721265
135	0.3400614042
136	0.3365667246
137	0.333172123
138	0.3315565188
139	0.3309984059
140	0.3271534474
141	0.3248995185
142	0.3196565638
143	0.3172482593
144	0.3152408689
145	0.3139627043
146	0.3102410193
147	0.3094731096
148	0.308237431
149	0.3071154538
150	0.3050729633
151	0.3047781257
152	0.3034353289
153	0.3018785564
154	0.3000038338
155	0.2978558889
156	0.2976609179
157	0.2949701745
158	0.2917585873
159	0.2902315974
160	0.2900528823
161	0.289980329
162	0.2866451631
163	0.2843581572
164	0.2813169283
165	0.2788025377
166	0.2769555544
167	0.2744061901
168	0.2733002737
169	0.2721861679
170	0.2706027129
171	0.2705257149
172	0.2692123566
173	0.268033504
174	0.2645563982
175	0.2644131519
176	0.2642244963
177	0.2636513465
178	0.2625069698
179	0.2624011064
180	0.2620355287
181	0.2615146784
182	0.2613632274
183	0.2606362383
184	0.2599546916
185	0.2592022792
186	0.2585014558
187	0.257286821
188	0.2572299402
189	0.2564221195
190	0.2550377147
191	0.2541625592
192	0.2540875683
193	0.2532546236
194	0.2523118483
195	0.2517388749
196	0.2489908144
197	0.2488839849
198	0.2476225234
199	0.2453448956
200	0.2447482205
201	0.2427225922
202	0.2411836206
203	0.2406058318
204	0.2402226142
205	0.2400940996
206	0.2397142342
207	0.2365116829
208	0.2343176267
209	0.2330353549
210	0.2318805347
211	0.2310930701
212	0.2292926434
213	0.2287519546
214	0.2285947202
215	0.2269304492
216	0.2258844899
217	0.2252101896
218	0.2246143762
219	0.2243653417
220	0.2241478183
221	0.223581288
222	0.2230390174
223	0.2208163604
224	0.2203005622
225	0.2199993276
226	0.2193518276
227	0.2179717385
228	0.2174488617
229	0.2168585376
230	0.216485333
231	0.2163821287
232	0.214972718
233	0.2148938147
234	0.213807683
235	0.2136336546
236	0.2114197435
237	0.210971989
238	0.2108622505
239	0.2108028579
240	0.2100373847
241	0.2091372838
242	0.2091166988
243	0.2088095993
244	0.2081269475
245	0.2068505422
246	0.206440863
247	0.2063132543
248	0.2036439228
249	0.2031578602
250	0.2028001675
251	0.2025122178
252	0.2017798645
253	0.2011437441
254	0.1994462516
255	0.198968162
256	0.1989433933
257	0.1988237487
258	0.1986250445
259	0.1977891083
260	0.1965803396
261	0.1959220621
262	0.1936603487
263	0.1933739804
264	0.1928958447
265	0.1927849465
266	0.1925671711
267	0.1921893733
268	0.1917909595
269	0.191695803
270	0.1908467032
271	0.190173359
272	0.1898476893
273	0.189146685
274	0.1876430019
275	0.1873595827
276	0.1870315982
277	0.186541879
278	0.1853107426
279	0.1843021146
280	0.1835821741
281	0.1830420129
282	0.182437921
283	0.182042775
284	0.1817964552
285	0.1799367056
286	0.1796705237
287	0.1794174773
288	0.1792562592
289	0.1787188757
290	0.1771346996
291	0.175887655
292	0.1755378996
293	0.1744643649
294	0.1739974319
295	0.1724377754
296	0.1714262586
297	0.1709353869
298	0.1705095491
299	0.1698836866
