iter	Passed	Remaining
0	81	24495
1	158	23625
2	197	19583
3	312	23119
4	380	22423
5	452	22181
6	523	21917
7	599	21863
8	668	21617
9	717	20798
10	756	19875
11	821	19707
12	888	19606
13	939	19198
14	1018	19353
15	1083	19230
16	1151	19172
17	1226	19218
18	1292	19121
19	1357	19007
20	1423	18910
21	1489	18823
22	1557	18761
23	1668	19187
24	1736	19096
25	1804	19015
26	1884	19051
27	1961	19057
28	2067	19320
29	2144	19297
30	2218	19249
31	2285	19139
32	2349	19008
33	2413	18884
34	2493	18877
35	2564	18806
36	2635	18734
37	2704	18645
38	2781	18611
39	2882	18735
40	2962	18715
41	3050	18738
42	3142	18783
43	3215	18706
44	3311	18765
45	3400	18773
46	3473	18700
47	3561	18698
48	3638	18638
49	3710	18553
50	3788	18497
51	3875	18481
52	3954	18431
53	4054	18469
54	4153	18500
55	4233	18446
56	4308	18367
57	4387	18305
58	4461	18226
59	4547	18190
60	4621	18105
61	4700	18044
62	4777	17974
63	4859	17919
64	4957	17923
65	5119	18149
66	5262	18302
67	5382	18363
68	5469	18309
69	5562	18276
70	5639	18189
71	5716	18101
72	5797	18026
73	5872	17935
74	5943	17831
75	6025	17760
76	6047	17515
77	6166	17550
78	6242	17463
79	6329	17405
80	6399	17301
81	6475	17214
82	6545	17111
83	6629	17047
84	6724	17010
85	6807	16940
86	6897	16886
87	6916	16663
88	7002	16602
89	7083	16527
90	7173	16475
91	7248	16388
92	7327	16310
93	7407	16232
94	7490	16164
95	7574	16095
96	7664	16039
97	7743	15961
98	7815	15867
99	7887	15775
100	7973	15709
101	8053	15634
102	8138	15566
103	8236	15522
104	8334	15477
105	8438	15443
106	8520	15368
107	8618	15321
108	8709	15262
109	8815	15226
110	8895	15147
111	8969	15056
112	9050	14976
113	9143	14917
114	9225	14841
115	9299	14751
116	9379	14670
117	9458	14588
118	9552	14528
119	9633	14450
120	9704	14356
121	9791	14285
122	9869	14202
123	9950	14122
124	10035	14050
125	10122	13978
126	10212	13912
127	10332	13883
128	10462	13869
129	10620	13888
130	10715	13823
131	10802	13748
132	10873	13652
133	10964	13583
134	11042	13496
135	11126	13417
136	11215	13343
137	11289	13253
138	11368	13167
139	11448	13084
140	11530	13002
141	11610	12918
142	11706	12852
143	11795	12778
144	11872	12690
145	11959	12615
146	12039	12530
147	12113	12440
148	12197	12361
149	12268	12268
150	12381	12217
151	12468	12140
152	12569	12076
153	12650	11993
154	12731	11910
155	12818	11832
156	12894	11745
157	12975	11661
158	13067	11588
159	13157	11513
160	13225	11418
161	13305	11334
162	13391	11255
163	13468	11168
164	13553	11089
165	13635	11007
166	13715	10922
167	13827	10864
168	13922	10791
169	14009	10712
170	14112	10645
171	14185	10556
172	14297	10495
173	14405	10431
174	14487	10348
175	14563	10260
176	14643	10176
177	14730	10095
178	14815	10014
179	14895	9930
180	14970	9842
181	15076	9774
182	15172	9700
183	15283	9634
184	15444	9600
185	15589	9554
186	15669	9468
187	15762	9390
188	15837	9301
189	15915	9214
190	15994	9127
191	16081	9045
192	16155	8956
193	16240	8873
194	16330	8793
195	16409	8707
196	16511	8632
197	16588	8545
198	16676	8463
199	16765	8382
200	16844	8296
201	16915	8206
202	16989	8118
203	17063	8029
204	17145	7945
205	17229	7861
206	17307	7775
207	17385	7689
208	17456	7600
209	17540	7517
210	17626	7434
211	17712	7352
212	17794	7268
213	17885	7187
214	17960	7100
215	18039	7015
216	18113	6928
217	18205	6847
218	18294	6766
219	18371	6680
220	18444	6593
221	18533	6511
222	18628	6432
223	18714	6349
224	18797	6265
225	18892	6186
226	18964	6098
227	19048	6015
228	19128	5930
229	19209	5846
230	19315	5769
231	19398	5685
232	19479	5601
233	19565	5518
234	19648	5434
235	19757	5358
236	19842	5274
237	19927	5191
238	19991	5102
239	20047	5011
240	20137	4929
241	20219	4846
242	20288	4759
243	20363	4673
244	20443	4589
245	20548	4510
246	20670	4435
247	20758	4352
248	20831	4266
249	20909	4181
250	20990	4097
251	21069	4013
252	21150	3929
253	21237	3846
254	21319	3762
255	21396	3677
256	21465	3591
257	21535	3505
258	21612	3421
259	21694	3337
260	21789	3255
261	21879	3173
262	21950	3088
263	22021	3002
264	22097	2918
265	22178	2834
266	22266	2752
267	22340	2667
268	22423	2584
269	22481	2497
270	22557	2413
271	22630	2329
272	22716	2246
273	22871	2170
274	23000	2090
275	23078	2006
276	23157	1922
277	23265	1841
278	23471	1766
279	23691	1692
280	23842	1612
281	23927	1527
282	24008	1442
283	24086	1357
284	24171	1272
285	24253	1187
286	24333	1102
287	24423	1017
288	24501	932
289	24581	847
290	24659	762
291	24753	678
292	24849	593
293	24937	508
294	25092	425
295	25186	340
296	25287	255
297	25372	170
298	25458	85
299	25555	0
