Origin,Destination,Route
Bưu điện Chợ Lớn,Bảo tàng Quận 5,"['Đường Pasteur' 'Đường Trường Chinh' 'Đường Lê Lợi' 'Đường Bạch Đằng'
 'Đường Nguyễn Văn Linh' 'Đường Nguyễn Văn Quá' 'Đường Lý Tự Trọng'
 'Đường Lê Văn Sỹ' 'Đường 3/2' 'Đường Cách Mạng Tháng Tám'
 'Đường Lý Thường Kiệt']"
Bưu điện Chợ Lớn,Bệnh viện Quận 5,"['Đường Tô Hiệu' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo' 'Đường 3/2'
 'Đường Bạch Đằng' 'Đường Lý Tự Trọng' 'Đường Lê Lợi'
 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Quá' 'Đường Pasteur'
 'Đường Cách Mạng Tháng Tám' 'Đường Nguyễn Văn Linh']"
Bưu điện Chợ Lớn,Chợ Bình Tây,"['Đường Bạch Đằng' 'Đường Pasteur' 'Đường Nguyễn Văn Quá'
 'Đường Lý Tự Trọng' 'Đường Trần Hưng Đạo' 'Đường Cái Vạn'
 'Đường Cách Mạng Tháng Tám' 'Đường Tô Hiệu' 'Đường Lê Lợi'
 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Linh'
 'Đường Đồng Khởi' 'Đường 3/2' 'Đường Trường Chinh']"
Bưu điện Chợ Lớn,Chợ Bình Đông,"['Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Quá'
 'Đường Trường Chinh' 'Đường Cái Vạn' 'Đường 3/2' 'Đường Lê Lợi'
 'Đường Đồng Khởi' 'Đường Pasteur' 'Đường Lý Tự Trọng' 'Đường Bạch Đằng'
 'Đường Cách Mạng Tháng Tám']"
Bưu điện Chợ Lớn,Công viên District 5,"['Đường Lý Thường Kiệt' 'Đường Lê Văn Sỹ' 'Đường Lý Tự Trọng'
 'Đường Đồng Khởi' 'Đường 3/2' 'Đường Tô Hiệu' 'Đường Bạch Đằng'
 'Đường Pasteur' 'Đường Cái Vạn' 'Đường Nguyễn Văn Quá'
 'Đường Nguyễn Văn Linh' 'Đường Lê Lợi']"
Bưu điện Chợ Lớn,Cửa hàng Điện máy X,"['Đường Đồng Khởi' 'Đường Bạch Đằng' 'Đường Lê Lợi'
 'Đường Nguyễn Văn Linh' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo'
 'Đường Lý Tự Trọng' 'Đường 3/2' 'Đường Lý Thường Kiệt' 'Đường Tô Hiệu'
 'Đường Nguyễn Văn Quá' 'Đường Pasteur' 'Đường Lê Văn Sỹ']"
Bưu điện Chợ Lớn,Ngã tư Lê Văn Sỹ,"['Đường Lý Thường Kiệt' 'Đường Tô Hiệu' 'Đường Bạch Đằng'
 'Đường Cách Mạng Tháng Tám' 'Đường Trường Chinh' 'Đường Trần Hưng Đạo'
 'Đường Nguyễn Văn Quá' 'Đường Nguyễn Văn Linh' 'Đường 3/2' 'Đường Lê Lợi'
 'Đường Lý Tự Trọng']"
Bưu điện Chợ Lớn,Nhà thờ Chợ Lớn,"['Đường Lê Lợi' 'Đường Cái Vạn' 'Đường Pasteur' 'Đường Đồng Khởi'
 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt' 'Đường Nguyễn Văn Linh'
 'Đường 3/2' 'Đường Tô Hiệu' 'Đường Bạch Đằng' 'Đường Cách Mạng Tháng Tám'
 'Đường Lý Tự Trọng']"
Bưu điện Chợ Lớn,Siêu thị Big C District 5,"['Đường Tô Hiệu' 'Đường Nguyễn Văn Linh' 'Đường Lê Lợi' 'Đường Pasteur'
 'Đường Trường Chinh' 'Đường Nguyễn Văn Quá' 'Đường Bạch Đằng'
 'Đường Cách Mạng Tháng Tám' 'Đường Lê Văn Sỹ' 'Đường Lý Thường Kiệt'
 'Đường Trần Hưng Đạo' 'Đường Đồng Khởi']"
Bưu điện Chợ Lớn,Sân vận động Quận 5,"['Đường Nguyễn Văn Quá' 'Đường Đồng Khởi' 'Đường 3/2' 'Đường Bạch Đằng'
 'Đường Cách Mạng Tháng Tám' 'Đường Trần Hưng Đạo' 'Đường Nguyễn Văn Linh'
 'Đường Lê Văn Sỹ' 'Đường Trường Chinh' 'Đường Pasteur'
 'Đường Lý Thường Kiệt' 'Đường Lý Tự Trọng' 'Đường Cái Vạn']"
